Id,ActivityMinute,value,logId,Date
2026352035,2016-03-21 23:33:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:34:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:35:00,2,11185231464,2016-03-21
2026352035,2016-03-21 23:36:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:37:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:38:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:39:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:40:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:41:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:42:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:43:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:44:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:45:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:46:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:47:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:48:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:49:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:50:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:51:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:52:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:53:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:54:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:55:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:56:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:57:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:58:00,1,11185231464,2016-03-21
2026352035,2016-03-21 23:59:00,1,11185231464,2016-03-21
2347167796,2016-03-21 00:00:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:01:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:02:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:03:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:04:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:05:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:06:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:07:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:08:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:09:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:10:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:11:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:12:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:13:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:14:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:15:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:16:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:17:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:18:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:19:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:20:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:21:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:22:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:23:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:24:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:25:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:26:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:27:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:28:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:29:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:30:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:31:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:32:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:33:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:34:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:35:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:36:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:37:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:38:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:39:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:40:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:41:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:42:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:43:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:44:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:45:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:46:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:47:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:48:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:49:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:50:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:51:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:52:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:53:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:54:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:55:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:56:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:57:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:58:00,1,11176780954,2016-03-21
2347167796,2016-03-21 00:59:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:00:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:01:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:02:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:03:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:04:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:05:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:06:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:07:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:08:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:09:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:10:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:11:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:12:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:13:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:14:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:15:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:16:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:17:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:18:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:19:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:20:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:21:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:22:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:23:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:24:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:25:00,2,11176780954,2016-03-21
2347167796,2016-03-21 01:26:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:27:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:28:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:29:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:30:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:31:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:32:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:33:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:34:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:35:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:36:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:37:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:38:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:39:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:40:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:41:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:42:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:43:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:44:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:45:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:46:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:47:00,2,11176780954,2016-03-21
2347167796,2016-03-21 01:48:00,2,11176780954,2016-03-21
2347167796,2016-03-21 01:49:00,2,11176780954,2016-03-21
2347167796,2016-03-21 01:50:00,2,11176780954,2016-03-21
2347167796,2016-03-21 01:51:00,2,11176780954,2016-03-21
2347167796,2016-03-21 01:52:00,2,11176780954,2016-03-21
2347167796,2016-03-21 01:53:00,3,11176780954,2016-03-21
2347167796,2016-03-21 01:54:00,3,11176780954,2016-03-21
2347167796,2016-03-21 01:55:00,2,11176780954,2016-03-21
2347167796,2016-03-21 01:56:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:57:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:58:00,1,11176780954,2016-03-21
2347167796,2016-03-21 01:59:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:00:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:01:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:02:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:03:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:04:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:05:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:06:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:07:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:08:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:09:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:10:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:11:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:12:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:13:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:14:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:15:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:16:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:17:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:18:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:19:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:20:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:21:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:22:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:23:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:24:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:25:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:26:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:27:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:28:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:29:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:30:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:31:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:32:00,2,11176780954,2016-03-21
2347167796,2016-03-21 02:33:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:34:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:35:00,2,11176780954,2016-03-21
2347167796,2016-03-21 02:36:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:37:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:38:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:39:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:40:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:41:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:42:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:43:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:44:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:45:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:46:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:47:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:48:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:49:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:50:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:51:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:52:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:53:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:54:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:55:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:56:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:57:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:58:00,1,11176780954,2016-03-21
2347167796,2016-03-21 02:59:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:00:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:01:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:02:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:03:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:04:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:05:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:06:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:07:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:08:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:09:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:10:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:11:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:12:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:13:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:14:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:15:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:16:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:17:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:18:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:19:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:20:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:21:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:22:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:23:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:24:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:25:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:26:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:27:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:28:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:29:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:30:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:31:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:32:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:33:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:34:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:35:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:36:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:37:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:38:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:39:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:40:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:41:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:42:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:43:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:44:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:45:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:46:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:47:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:48:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:49:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:50:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:51:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:52:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:53:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:54:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:55:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:56:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:57:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:58:00,1,11176780954,2016-03-21
2347167796,2016-03-21 03:59:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:00:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:01:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:02:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:03:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:04:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:05:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:06:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:07:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:08:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:09:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:10:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:11:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:12:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:13:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:14:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:15:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:16:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:17:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:18:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:19:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:20:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:21:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:22:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:23:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:24:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:25:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:26:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:27:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:28:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:29:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:30:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:31:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:32:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:33:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:34:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:35:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:36:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:37:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:38:00,2,11176780954,2016-03-21
2347167796,2016-03-21 04:39:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:40:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:41:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:42:00,2,11176780954,2016-03-21
2347167796,2016-03-21 04:43:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:44:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:45:00,2,11176780954,2016-03-21
2347167796,2016-03-21 04:46:00,2,11176780954,2016-03-21
2347167796,2016-03-21 04:47:00,2,11176780954,2016-03-21
2347167796,2016-03-21 04:48:00,2,11176780954,2016-03-21
2347167796,2016-03-21 04:49:00,2,11176780954,2016-03-21
2347167796,2016-03-21 04:50:00,2,11176780954,2016-03-21
2347167796,2016-03-21 04:51:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:52:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:53:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:54:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:55:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:56:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:57:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:58:00,1,11176780954,2016-03-21
2347167796,2016-03-21 04:59:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:00:00,2,11176780954,2016-03-21
2347167796,2016-03-21 05:01:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:02:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:03:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:04:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:05:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:06:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:07:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:08:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:09:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:10:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:11:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:12:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:13:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:14:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:15:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:16:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:17:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:18:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:19:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:20:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:21:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:22:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:23:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:24:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:25:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:26:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:27:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:28:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:29:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:30:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:31:00,2,11176780954,2016-03-21
2347167796,2016-03-21 05:32:00,2,11176780954,2016-03-21
2347167796,2016-03-21 05:33:00,2,11176780954,2016-03-21
2347167796,2016-03-21 05:34:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:35:00,2,11176780954,2016-03-21
2347167796,2016-03-21 05:36:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:37:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:38:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:39:00,1,11176780954,2016-03-21
2347167796,2016-03-21 05:40:00,1,11176780954,2016-03-21
